ID	population
ABF116	ABF
ABF117	ABF
ABF119	ABF
ABF120	ABF
ABF121	ABF
ABF122	ABF
ABF123	ABF
ABF125	ABF
ABF126	ABF
ABF127	ABF
ABF2	ABF
ABF3	ABF
ABF4	ABF
ABF5	ABF
ABF7	ABF
ABF8	ABF
ABF9	ABF
ABF10	ABF
ABF11	ABF
ABF12	ABF
ABF13	ABF
ABF14	ABF
ABF15	ABF
ABF16	ABF
ABF18	ABF
ABF19	ABF
ABF20	ABF
ABF21	ABF
ABF23	ABF
ABF25	ABF
ABF27	ABF
ABF28	ABF
ABF29	ABF
ABF32	ABF
ABF33	ABF
ABF34	ABF
ABF35	ABF
ABF36	ABF
ABF39	ABF
ABF40	ABF
ABF72	ABF
ABF80	ABF
ABF82	ABF
ABF83	ABF
ABF84	ABF
ABF85	ABF
ABF86	ABF
ABF87	ABF
ABF88	ABF
ABF89	ABF
ABF90	ABF
ABF92	ABF
ABF94	ABF
ABF95	ABF
ABF96	ABF
ABF97	ABF
ABF98	ABF
ABF100	ABF
ABF101	ABF
ABF104	ABF
ABF105	ABF
ABF112	ABF
ABF147	ABF
ABF148	ABF
ABF136	ABF
ABF138	ABF
ABF139	ABF
ABF140	ABF
ABF141	ABF
ABF142	ABF
ABF143	ABF
ABF144	ABF
ABF145	ABF
